                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.41352,                0.41902,                0.03304,                0.67515,                0.57069,                0.63765,                 0.2953,                0.66308,                0.68949,                0.05009,               0.001486,               0.001486,               0.001486
                    131,                0.74447,                 0.5058,                0.05426,                0.65516,                0.55103,                0.62797,                0.28351,                0.66492,                0.69761,                0.05063,                0.00142,                0.00142,                0.00142
                    132,                0.73906,                0.53375,                 0.0541,                0.64875,                0.55373,                 0.6252,                0.27884,                0.66927,                0.69765,                0.05068,               0.001354,               0.001354,               0.001354
                    133,                0.44438,                0.45687,                0.03269,                0.64901,                0.55506,                0.62501,                0.27811,                0.67157,                 0.6959,                0.05067,               0.001288,               0.001288,               0.001288
                    134,                0.53113,                0.44688,                 0.0378,                0.66882,                0.55521,                0.63226,                0.27865,                0.67278,                0.69271,                0.05041,               0.001222,               0.001222,               0.001222
                    135,                0.42639,                0.43971,                0.03203,                0.66247,                  0.557,                0.63227,                0.27688,                0.67763,                0.69069,                0.05055,               0.001156,               0.001156,               0.001156
                    136,                 0.4172,                0.43548,                0.03123,                0.66352,                0.55849,                0.63087,                0.27519,                0.68749,                0.68113,                 0.0509,                0.00109,                0.00109,                0.00109
                    137,                0.45583,                0.44624,                0.03461,                0.67382,                0.56844,                0.63868,                0.27402,                0.69207,                 0.6777,                0.05106,               0.001024,               0.001024,               0.001024
                    138,                0.36796,                0.41799,                0.02905,                0.68857,                0.56159,                0.63844,                0.27408,                0.69607,                0.67326,                0.05117,               0.000958,               0.000958,               0.000958
                    139,                0.72602,                0.46822,                0.04925,                0.67332,                0.55584,                0.63175,                0.27093,                 0.6983,                0.67456,                0.05107,               0.000892,               0.000892,               0.000892
                    140,                0.57413,                0.45157,                0.03963,                0.65426,                0.55024,                0.62336,                0.26193,                0.70528,                0.67596,                0.05149,               0.000826,               0.000826,               0.000826
                    141,                0.67826,                0.48173,                0.05121,                0.61571,                0.53859,                0.60432,                0.24469,                0.71216,                0.68402,                0.05203,                0.00076,                0.00076,                0.00076
                    142,                0.51186,                0.44274,                 0.0393,                0.56556,                0.54291,                0.58782,                0.22883,                0.72282,                0.68679,                0.05259,               0.000694,               0.000694,               0.000694
                    143,                0.36033,                0.39692,                0.03059,                0.53566,                0.54738,                0.57444,                0.21897,                0.72943,                0.69006,                0.05256,               0.000628,               0.000628,               0.000628
                    144,                0.33004,                0.38434,                0.02962,                0.49787,                0.55981,                0.56646,                0.20911,                0.73901,                 0.6905,                0.05321,               0.000562,               0.000562,               0.000562
                    145,                0.31357,                0.37561,                 0.0286,                0.48381,                 0.5581,                0.55765,                0.20073,                0.74517,                0.69284,                0.05343,               0.000496,               0.000496,               0.000496
                    146,                0.29759,                0.36925,                0.02816,                0.47053,                0.56873,                0.54843,                0.19223,                0.75447,                0.69433,                0.05383,                0.00043,                0.00043,                0.00043
                    147,                0.57104,                0.42614,                0.04252,                0.42703,                0.58681,                0.51699,                 0.1793,                0.76572,                0.69646,                0.05412,               0.000364,               0.000364,               0.000364
                    148,                 0.2862,                0.36664,                0.02747,                0.41102,                0.57939,                0.50081,                0.17341,                0.77089,                0.70018,                0.05469,               0.000298,               0.000298,               0.000298
                    149,                0.27646,                 0.3605,                0.02707,                0.39787,                0.58242,                0.48733,                0.16919,                0.77447,                0.70523,                0.05485,               0.000232,               0.000232,               0.000232
                    150,                 0.2674,                0.35249,                0.02648,                0.39293,                0.58259,                0.48015,                0.16678,                0.78082,                 0.7053,                0.05495,               0.000166,               0.000166,               0.000166
