                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.0427,                 0.6845,                0.05739,                0.56339,                0.31531,                0.28037,                0.15026,                0.61651,                0.87867,                0.03281,               0.005347,               0.005347,               0.005347
                    143,                0.79276,                0.78659,                0.03775,                0.56224,                0.31857,                0.28137,                0.15065,                0.61534,                0.87882,                0.03261,               0.005314,               0.005314,               0.005314
                    144,                 0.8356,                0.75393,                0.04001,                 0.5672,                0.31222,                0.28306,                0.15103,                0.61767,                0.87597,                0.03269,               0.005281,               0.005281,               0.005281
                    145,                0.93376,                0.70729,                0.04665,                0.56832,                 0.3137,                0.28464,                0.15072,                0.62086,                0.87279,                0.03283,               0.005248,               0.005248,               0.005248
                    146,                 1.0509,                0.65948,                0.05505,                0.57211,                0.31437,                0.28588,                0.15061,                0.62377,                0.86926,                0.03293,               0.005215,               0.005215,               0.005215
                    147,                 1.1267,                0.62226,                0.06377,                0.56937,                0.31692,                0.28535,                0.15063,                0.62765,                0.86657,                0.03318,               0.005182,               0.005182,               0.005182
                    148,                0.92568,                 0.7225,                0.04524,                0.57275,                 0.3161,                0.28556,                0.14945,                0.63042,                0.86361,                0.03328,               0.005149,               0.005149,               0.005149
                    149,                0.84941,                0.74335,                   0.04,                0.57543,                0.31604,                0.28631,                0.14995,                0.63166,                0.86211,                0.03337,               0.005116,               0.005116,               0.005116
                    150,                0.87078,                0.72767,                0.04235,                0.57395,                 0.3192,                0.28768,                  0.151,                0.63138,                0.86158,                0.03326,               0.005083,               0.005083,               0.005083
                    151,                 1.0911,                0.62761,                0.05523,                0.57186,                 0.3194,                0.28951,                0.14814,                0.63836,                0.85747,                 0.0337,                0.00505,                0.00505,                0.00505
                    152,                 1.1111,                0.61653,                0.06273,                0.57874,                0.31529,                0.29069,                0.14996,                0.63825,                0.85584,                0.03377,               0.005017,               0.005017,               0.005017
                    153,                  1.179,                 0.6167,                0.06481,                0.58397,                0.31304,                0.28902,                 0.1499,                0.64339,                0.85211,                0.03393,               0.004984,               0.004984,               0.004984
                    154,                0.99674,                0.66719,                0.05049,                0.58284,                0.31218,                0.28959,                0.15001,                0.64797,                0.84772,                 0.0341,               0.004951,               0.004951,               0.004951
                    155,                0.82849,                0.73633,                0.03891,                0.58524,                0.30994,                0.29025,                0.15235,                0.64784,                0.84856,                0.03402,               0.004918,               0.004918,               0.004918
                    156,                0.99964,                0.67454,                0.04908,                 0.5833,                0.31299,                 0.2912,                0.15243,                0.64996,                0.84686,                0.03405,               0.004885,               0.004885,               0.004885
                    157,                0.84831,                0.72199,                0.03987,                0.58597,                0.31314,                0.29156,                0.15289,                0.65214,                0.84447,                0.03413,               0.004852,               0.004852,               0.004852
